Rating,Reviews,Size,Installs,Price,Title_Length,Is_Pro_App,Days_Since_Update,Reviews_Log,Installs_Log,Category_Encoded,Interaction_Rate,Primary_Genre_Encoded,Genres,Category,Type,Content Rating,Last Updated,Primary_Genre
4.1,159,19000000.0,10000,0.0,46,0,213,5.075173815233827,9.210440366976517,4.350388804021091,0.015898410158984102,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-01-07,Art & Design
3.9,967,14000000.0,500000,0.0,19,0,205,6.875232087276577,13.122365377402328,4.350388804021091,0.001933996132007736,4.340101879446781,Art & Design;Pretend Play,ART_AND_DESIGN,Free,Everyone,2018-01-15,Art & Design
4.7,87510,8700000.0,5000000,0.0,50,0,7,11.37951977873004,15.424948670398354,4.350388804021091,0.0175019964996007,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-08-01,Art & Design
4.5,215644,25000000.0,50000000,0.0,21,0,61,12.2813888160896,17.72753358339242,4.350388804021091,0.0043128799137424016,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Teen,2018-06-08,Art & Design
4.3,967,2800000.0,100000,0.0,37,0,49,6.875232087276577,11.51293546492023,4.350388804021091,0.00966990330096699,4.340101879446781,Art & Design;Creativity,ART_AND_DESIGN,Free,Everyone,2018-06-20,Art & Design
4.4,167,5600000.0,50000,0.0,26,0,500,5.123963979403259,10.819798284210286,4.350388804021091,0.0033399332013359733,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-03-26,Art & Design
3.8,178,19000000.0,50000,0.0,39,0,104,5.187385805840755,10.819798284210286,4.350388804021091,0.0035599288014239714,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-04-26,Art & Design
4.1,36815,29000000.0,1000000,0.0,16,0,55,10.513687812275148,13.815511557963774,4.350388804021091,0.03681496318503682,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-06-14,Art & Design
4.4,13791,33000000.0,1000000,0.0,20,0,322,9.531843992903474,13.815511557963774,4.350388804021091,0.01379098620901379,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-09-20,Art & Design
4.7,121,3100000.0,10000,0.0,29,0,36,4.804021044733257,9.210440366976517,4.350388804021091,0.012098790120987902,4.340101879446781,Art & Design;Creativity,ART_AND_DESIGN,Free,Everyone,2018-07-03,Art & Design
